reach_id,time,p_lat,p_lon,wse,wse_u,width,width_u,reach_q,reach_q_b,dark_frac,ice_clim_f,obs_frac_n,ice_dyn_f,slope2,slope2_r_u,xovr_cal_q,p_width,p_n_ch_max,p_n_ch_mod,p_length,slope,slope_r_u,date
74294400161,796569215.542,41.22998362,-98.4242805,537.0184,0.09612,175.13653,0.657195,1,12,0.02861707596,0,1.0,-999,0.00105307938,1.36434e-06,1,77.0,2,1,11637.541209,0.00106667609,2.230662e-05,2025-03-29 13:13:35.542000055
74294400171,796569215.33,41.15398769,-98.4869646,549.6034,0.095,195.609816,0.73727,1,12,0.03233150987,0,1.0,-999,0.00110946776,1.21043e-06,1,147.0,3,1,11634.204539,0.00108889255,2.163788e-05,2025-03-29 13:13:35.330000043
74294400231,796569215.615,41.27210987,-98.486174,540.5367,0.09344,147.656426,0.613558,1,12,0.00456721974,0,1.0,-999,0.00112148572,7.8838e-07,1,136.5,3,1,17331.825985,0.00112403417,1.400085e-05,2025-03-29 13:13:35.615000010
74294400311,796569225.0,41.76300117,-99.3230143,678.9714,0.09319,107.864182,0.814463,1,12,0.00279887242,0,1.0,-999,0.00129986843,7.2888e-07,1,92.0,2,1,12149.033373,0.00129954153,1.689948e-05,2025-03-29 13:13:45.000000000
74294400321,796569225.028,41.7971971,-99.4476953,694.7416,0.09399,102.365034,0.665268,1,12,0.00202063857,0,1.0,-999,0.00133079494,9.9341e-07,1,84.0,1,1,12113.543049,0.00133508007,1.882014e-05,2025-03-29 13:13:45.027999997
74295600061,796569244.984,42.7452324,-98.2421023,402.5375,0.0922,398.829154,1.429754,1,12,0.0032874454,0,1.0,-999,0.00131452538,4.8621e-07,1,315.0,4,1,11716.100234,0.00130891655,1.492785e-05,2025-03-29 13:14:04.983999968
23265000051,796544671.158,49.66351967,8.3711981,84.3383,0.09247,320.112856,0.830151,1,8,0.03371618875,0,1.0,-999,0.00011621367,6.7004e-07,0,303.881317,2,1,12354.143885,0.00011894921,1.693756e-05,2025-03-29 06:24:31.157999992
63550600161,796596582.638,-17.81625056,-40.429562,101.378,0.10709,100.276845,0.616525,1,8,0.1357509884,0,0.78431372549,-999,0.00116123933,2.0996e-06,0,136.0,3,1,10215.663821,0.00118458279,4.762904e-05,2025-03-29 20:49:42.638000011
72306000061,796595410.663,49.01074966,-54.8402012,20.6674,0.0949,151.678373,1.278047,1,8,0.00270580759,1,1.0,-999,0.00111893183,1.93432e-06,0,84.0,1,1,8031.186711,0.00103367119,2.500703e-05,2025-03-29 20:30:10.662999988
74227700041,796521589.369,34.10496577,-98.5312328,291.4152,0.09619,134.516616,0.959663,1,12,0.0,0,0.88679245283,-999,0.00069440766,3.50039e-06,1,136.0,3,1,10596.998075,0.00073214986,2.091921e-05,2025-03-28 23:59:49.368999958
74248300191,796521549.023,36.53365474,-98.8997813,421.6668,0.09473,74.04967,0.388908,1,12,0.00015578632,0,1.0,-999,0.00099411617,1.27941e-06,1,150.0,2,1,19050.435693,0.00099574413,1.528184e-05,2025-03-28 23:59:09.023000002
75340200151,796521878.535,17.85819659,-95.1482174,18.8569,0.09824,111.528321,0.678451,0,0,0.06495952402,0,0.92,-999,0.00028201663,1.48687e-06,0,87.0,1,1,10046.499435,0.00025289252,2.490792e-05,2025-03-29 00:04:38.534999966
73160300071,796601726.675,40.86585667,-76.7997858,128.2235,0.09961,618.508207,1.943943,1,12,0.19990443178,0,1.0,-999,0.00021043011,4.44313e-06,1,668.5,2,1,3118.36608,0.00018546957,5.981001e-05,2025-03-29 22:15:26.674999952
